# Time_ps Time_ns ACF_OppPair NormACF_OppPair ACF_SamePair NormACF_SamePair ACF_AllCombined NormACF_AllCombined
0.000000000000000000e+00 0.000000000000000000e+00 1.660139113595491991e-04 1.000000000000000000e+00 1.477991254380958902e-04 1.000000000000000000e+00 1.569065183988225447e-04 1.000000000000000000e+00
5.000000000000000000e+00 5.000000000000000104e-03 5.246597154077481168e-05 3.160335848430508299e-01 3.426406709756031892e-05 2.318286187147396982e-01 4.336501931916756530e-05 2.763748744264596935e-01
1.000000000000000000e+01 1.000000000000000021e-02 3.588124104017591460e-05 2.161339417060364754e-01 2.302549552977780855e-05 1.557891189242645025e-01 2.945336828497686666e-05 1.877128406489318169e-01
1.500000000000000000e+01 1.500000000000000118e-02 2.408568480362501088e-05 1.450823283806667030e-01 1.445141865510857421e-05 9.777743009150212383e-02 1.926855172936679255e-05 1.228027485791908791e-01
2.000000000000000000e+01 2.000000000000000042e-02 1.338690244824250478e-05 8.063723298012931417e-02 1.070629835031198557e-05 7.243817119064216437e-02 1.204660039927724432e-05 7.677565293149506143e-02
2.500000000000000000e+01 2.500000000000000139e-02 1.552558409533857142e-05 9.351977775954938010e-02 1.177940796706582211e-05 7.969876636380709978e-02 1.365249603120219931e-05 8.701038153494998484e-02
3.000000000000000000e+01 3.000000000000000236e-02 1.766856676567494735e-05 1.064282301463806979e-01 1.070522525365011857e-05 7.243091068312099146e-02 1.418689600966253381e-05 9.041623097902473649e-02
3.500000000000000000e+01 3.500000000000000333e-02 1.659762061543054436e-05 9.997728792428599298e-02 1.500087005576178345e-05 1.014949852463419289e-01 1.579924533559616391e-05 1.006920904040320836e-01
4.000000000000000000e+01 4.000000000000000083e-02 1.285035411731022511e-05 7.740528496722914875e-02 9.099876965797164819e-06 6.156922064879574025e-02 1.097511554155369496e-05 6.994684257576423703e-02
4.500000000000000000e+01 4.500000000000000527e-02 4.821440574943168776e-06 2.904238889053701797e-02 4.824672819818040199e-06 3.264344633648596367e-02 4.823056697380604487e-06 3.073840874552728405e-02
5.000000000000000000e+01 5.000000000000000278e-02 5.893464140145862809e-06 3.549982102031154496e-02 5.887021241878249498e-06 3.983123191310063843e-02 5.890242691012055730e-06 3.753982148810623698e-02
5.500000000000000000e+01 5.500000000000000722e-02 9.104173670741050068e-06 5.483982394116018039e-02 8.568707073063485484e-06 5.797535707782248277e-02 8.836440371902268623e-06 5.631659195599472700e-02
6.000000000000000000e+01 6.000000000000000472e-02 6.965496341941410011e-06 4.195730517339413962e-02 6.427879232643691628e-06 4.349064457310297671e-02 6.696687787292552090e-06 4.267947473202493569e-02
6.500000000000000000e+01 6.500000000000000222e-02 6.422496476148664711e-06 3.868649574937708946e-02 1.605356924445806499e-06 1.086174846899343356e-02 4.013926700297235393e-06 2.558164403402731282e-02
7.000000000000000000e+01 7.000000000000000666e-02 9.634274785109289840e-06 5.803293655459748623e-02 4.821436256646742191e-06 3.262154794458611146e-02 7.227855520878015168e-06 4.606472436349880878e-02
